ALERGIAS	AL·LÈRGIES
ANTECEDENTES	ANTECEDENTS
ANTECEDENTES	ANTECEDENTS PATOLÒGICS
ANTECEDENTES	ANTECEDENTES PATOLÓGICOS
ANTECEDENTES	ANTECEDENTS PERSONALS
ANTECEDENTES	ANTECEDENTES PERSONALES
CONCLUSIONES	CONCLUSIONS
CONCLUSIONES	CONCLUSIÓN
CONCLUSIONES	CONCLUSIÓ
DIAGNÓSTICOS	DIAGNÒSTICS
DIAGNÓSTICOS	DIAGNÒSTIC PRINCIPAL
DIAGNÓSTICOS	DIAGNÓSTICOS PRINCIPALES
DIAGNÓSTICOS	DIAGNÒSTICS PRINCIPALS
DIAGNÓSTICOS	ORIENTACIÓ DIAGNÒSTICA
DIAGNÓSTICOS	ORIENTACIÓN DIAGNÓSTICA
DIAGNÓSTICOS	JUDICI CLÍNIC
DIAGNÓSTICOS	JUICIO CLÍNICO
ENFERMEDAD ACTUAL	MALALTIA ACTUAL
EVOLUCIÓN	EVOLUCIÓ
EVOLUCIÓN	EVOLUCIÓN CLINICA
EVOLUCIÓN	EVOLUCIÓ CLÍNICA
EXPLORACIÓN FÍSICA	EXPLORACIÓ FÍSICA
EXPLORACIONES COMPLEMENTARIAS	EXPLORACIONS COMPLEMENTÀRIES
INDICACIONES	INDICACIONS
INDICACIONES	RECOMANACIONES AL ALTA
INDICACIONES	RECOMENDACIONES AL ALTA
INDICACIONES	RECOMANACIONES
INDICACIONES	RECOMENDACIONES
MOTIVO	MOTIU DE CONSULTA
MOTIVO	MOTIU DE CONSULTA
MOTIVO	MOTIU DE INGRÈS
MOTIVO	MOTIU D'INGRÈS
PROCEDIMIENTOS	PROCEDIMENTS
PROCEDIMIENTOS	INTERVENCIONES
PROCEDIMIENTOS	INTERVENCIONS
TRATAMIENTO	PLA
TRATAMIENTO	PLAN
TRATAMIENTO	TRACTAMENT
TRATAMIENTO	TRACTAMENT A L'ALTA
TRATAMIENTO	TRATAMIENTO AL ALTA
TRATAMIENTO	TRACTAMENT HABITUAL
TRATAMIENTO	TRATAMIENTO HABITUAL
TRATAMIENTO	TRATAMIENTO MÉDICO AL ALTA
TRATAMIENTO	TRACTAMENT MÈDIC L'ALTA
TRATAMIENTO	TRACTAMENT Y RECOMANACIONS
TRATAMIENTO	TRATAMIENTO Y RECOMENDACIONES
